id,brand,car_model,type,descproblem,datetime,status,desc,problem
489091,广汽本田,雅阁,2016款 2.0L CVT  舒适版,,2020-06-28,信息审核,广汽本田雅阁转向机异响厂家拒绝索赔,"D59,I297,"
489087,上汽斯柯达,速派,2018款 TSI330 DSG 舒适版 国V,,2020-06-28,信息审核,斯柯达速派变速箱机电单元故障希望处理,"B115,"
489085,一汽丰田,普锐斯,2005款 1.5 织物版,,2020-06-28,信息审核,一汽丰田普锐斯行驶过程中仪表黑屏突然熄火,"A14,H202,"
489082,长城汽车,哈弗H6 Coupe,2015款 2.0T 自动 两驱尊贵型,,2020-06-28,信息审核,哈弗H6 Coupe变速箱故障售后不予更换,"B84,B77,"
489079,奇瑞汽车,艾瑞泽7,2016款 1.6L CVT 致尚版,,2020-06-28,信息审核,奇瑞艾瑞泽7车门多处位置生锈腐蚀,"H79,"
489078,东风雪铁龙,雪铁龙C4L,2014款 1.8L 自动 智驱版 劲享型,,2020-06-28,信息审核,东风雪铁龙C4L天窗内有尖锐金属声导致漏水,"H90,"
489077,东风日产,楼兰,2015款 2.5L 两驱 智享版 XL NAVI,,2020-06-28,信息审核,东风日产楼兰变速箱阀体损坏希望解决,"B84,"
489076,上汽斯柯达,Yeti,2017款 TSI280 DSG 前行版,,2020-06-28,信息审核,斯柯达Yeti车身漏水导致车内积水,"H109,"
489075,华晨宝马,宝马3系,2020款 325Li M运动曜夜套装,,2020-06-28,信息审核,华晨宝马3系防冻液渗漏影响发动机工作,"A37,"
489074,奇瑞汽车,艾瑞泽5,2019款 1.5L 手动 新青春版 国VI,,2020-06-28,信息审核,奇瑞艾瑞泽5行驶中加速时存在异响,"B33,"
489073,众泰汽车,众泰E200,2018款 飞鱼座,,2020-06-28,信息审核,众泰E200索赔手套箱一直无配件更换,"N318,"
489068,上汽斯柯达,速派,2019款 TSI330 DSG 舒适版,,2020-06-28,信息审核,斯柯达速派发动机冷却系统故障 水温高,"A191,"
489059,一汽丰田,威驰,2019款 1.5L CVT 创行版,,2020-06-28,信息审核,一汽丰田威驰销售承诺赠送精品座垫未兑现,"L313,N317,"
489057,广汽丰田,雷凌,2019款 185T CVT 豪华版 国V,,2020-06-28,信息审核,广汽丰田雷凌轮毂轴承漏油 车内异响,"G105,H164,"
489055,东风标致,标致308S,2015款 1.2T 自动 劲驰版,,2020-06-28,信息审核,东风标致308S碳罐内进入汽油导致发动机熄火,"A24,A14,H271,"
489053,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,,2020-06-28,信息审核,一汽大众迈腾变速箱开启紧急模式无奇数挡,"B20,B96,"
489050,吉利汽车,远景,2017款 1.5L 自动 幸福版,,2020-06-28,信息审核,吉利远景变速箱损坏导致车辆无法行驶,"B334,"
489049,长城汽车,哈弗H6 Coupe,2015款 2.0T 自动 两驱精英型,,2020-06-28,信息审核,哈弗H6 coupe天窗漏水导致扬声器没有声音,"H134,H90,"
489048,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,,2020-06-28,信息审核,吉利缤越车机系统升级承诺不兑现转向柱漏油,"D58,H164,H144,L314,"
489046,北汽昌河,昌河Q7,2018款 1.5T CVT 豪华型 5座,,2020-06-28,信息审核,北汽昌河Q7变速箱渗油启动马达失灵,"A44,G51,"
489045,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,,2020-06-28,信息审核,一汽大众奥迪Q5L打开点火开关后音响有异响,"H134,"
489042,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,,2020-06-28,信息审核,一汽大众迈腾变速器机电控制单元故障,"B84,"
489033,东风悦达起亚,起亚KX5,2016款 1.6T 自动 两驱DLX,,2020-06-28,信息审核,东风悦达起亚KX5空调出风温度不一致,"H101,"
489032,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,,2020-06-28,厂家受理,上汽名爵6变速箱顿挫异响 保险杠漆面开裂,"B33,B19,H81,"
489031,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 技术型,,2020-06-28,信息审核,一汽大众奥迪Q5转向异响存在质量问题,"D59,"
489030,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,,2020-06-28,信息审核,广汽丰田凯美瑞车窗玻璃挂水严重影响视线,"H113,"
489025,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,,2020-06-28,信息审核,吉利帝豪GL低速行驶时变速箱顿挫有异响	,"B33,B19,"
489024,一汽-大众,宝来,2018款 1.5L 自动 舒适型,,2020-06-28,信息审核,一汽大众宝来发动机报警加速无力,"A9,A34,A163,"
489023,上汽大众,朗逸,2015款 1.6 手动 舒适版,,2020-06-28,信息审核,上汽大众朗逸车内一直有异味影响健康,"H185,"
489019,一汽奔腾,奔腾T77,2019款 230 TID 自动 豪华型 国VI,,2020-06-28,处理反馈,一汽奔腾T77发动机故障灯加速无力,"A34,A163,"
489014,海马汽车,海马8S,2019款 1.6TGDI 自动 智版,,2020-06-28,信息审核,海马8S车身抖动严重希望尽快解决,"H268,"
489013,江铃汽车,域虎7,2016款 2.4T 四驱 豪华版JX4D24,,2020-06-28,信息审核,江铃域虎7车身生锈存在安全隐患,"H79,"
489009,海马汽车,海马S5,2018款 1.5T 手动 豪华型,,2020-06-28,信息审核,海马S5购车赠送常规保养未兑现,"L313,"
489002,北京现代,菲斯塔,2019款 240TGDi 运动版 国VI,,2020-06-28,信息审核,北京现代菲斯塔变速箱异响厂家告知正常,"B33,I295,"
488992,上汽大众,朗逸,2019款 1.5L 手动 舒适版 国VI,,2020-06-28,信息审核,上汽大众朗逸玛吉斯轮胎开裂希望厂家处理,"F100,"
488990,吉利汽车,星越,2019款 改款 350T 耀星者,,2020-06-28,信息审核,吉利星越车机系统死机影响正常使用,"H155,M279,"
488985,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,,2020-06-28,处理反馈,吉利帝豪GL副驾驶座椅缝线开裂海绵漏出,"H168,H169,"
488983,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,,2020-06-28,处理反馈,吉利博越实车没有前雾灯和挡位显示灯,"M279,"
488981,吉利汽车,博越,2020款 1.8TD DCT 两驱 智联型4G互联版,,2020-06-28,处理反馈,吉利博越方向盘多功能按键松动失灵,"H134,"
488979,广汽菲克Jeep,大指挥官,2018款 2.0T 四驱 悦享版 国V,,2020-06-28,信息审核,广汽菲克Jeep大指挥官传动轴生锈,"H79,"
488977,北汽新能源,EV系列,2016款 EV160 轻快版,,2020-06-28,处理反馈,北汽新能源EV系列续航里程与电量衰退,"H344,"
488976,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,,2020-06-28,信息审核,长安马自达昂克赛拉中控显示屏面板爆裂,"H134,H168,"
488975,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,,2020-06-28,信息审核,一汽大众奥迪Q3发动机高压油泵异响,"A9,"
488974,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,,2020-06-28,信息审核,一汽大众探岳更换大灯后再次发生白内障,"H82,"
488973,东南汽车,V5菱致,2015款 1.5L CVT 智尊型 plus,,2020-06-28,信息审核,东南V5菱致开启空调后变速箱异响,"B33,"
488972,北京现代,名图,2017款 1.6T 自动 智能型 GLS,,2020-06-28,信息审核,北京现代名图座椅异响多次处理没解决,"H169,"
488971,广汽本田,飞度,2014款 1.5L CVT LX舒适型,,2020-06-28,信息审核,广汽本田飞度车身侧裙位置大面积生锈,"H79,"
488969,长安汽车,长安欧尚CX70,2017款 CX70T 1.5T 自动 豪擎版 改款,,2020-06-28,厂家受理,长安欧尚CX70发动机点火线圈位置渗油,"A12,"
488967,东风标致,标致4008,2017款 350THP 舒适版,,2020-06-28,信息审核,东风标致4008转向时方向盘异响严重,"D59,"
488964,上汽大众,途观L,2017款 380TSI 四驱 豪华版,,2020-06-28,信息审核,上汽大众途观L变速箱机电单元故障,"B84,"
488954,一汽-大众,宝来,2019款 1.5L 自动 时尚型,,2020-06-28,信息审核,一汽大众宝来大灯进水胎压误报自动驻车故障,"H88,H170,H203,"
488948,广汽本田,飞度,2014款 1.5L CVT LX舒适型,,2020-06-28,信息审核,广汽本田飞度飞度发动机启动困难希望厂家处理,"A44,"
488943,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,,2020-06-28,信息审核,上汽大众朗逸变速箱异响严重希望处理,"B33,"
488941,比亚迪,比亚迪e5,2017款 300 尊贵型,,2020-06-28,处理反馈,比亚迪e5电池电量严重衰减无法行驶,"H343,"
488938,北京奔驰,奔驰C级,2015款 180 L 运动型 改款,,2020-06-28,信息审核,北京奔驰C级空调制冷效果差要求免费维修,"H101,"
488936,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,,2020-06-28,信息审核,一汽大众迈腾行驶中变速箱报警 挡位缺失,"B96,B84,"
488931,广汽本田,雅阁,2016款 2.4L CVT  舒适版,,2020-06-28,信息审核,广汽本田雅阁4S店维修车辆修出新问题,"J300,"
488929,上汽大众,途观,2015款 1.8TSI 自动 两驱 舒适版 5座,,2020-06-28,信息审核,上汽大众途观车窗无法关闭导致车内进水,"H67,"
488923,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 豪华版,,2020-06-28,信息审核,奇瑞艾瑞泽5行驶过程中变速箱故障灯亮,"B96,"
488922,长安汽车,长安CS35,2012款 1.6 自动 豪华型,,2020-06-28,信息审核,长安CS35减震器漏油车窗升降失灵汽油箱生锈,"A85,G25,H79,H67,"
488915,广汽菲克Jeep,大指挥官,2018款 2.0T 两驱 进享版 国V,,2020-06-28,信息审核,广汽菲克Jeep大指挥官经销商出售库存车,"M283,"
488914,东风雪铁龙,爱丽舍,2015款 1.6L 自动 舒适型,,2020-06-28,信息审核,东风雪铁龙爱丽舍方向盘失灵无法转动,"D57,"
488911,东风标致,标致408,2014款 1.8L 自动 豪华版,,2020-06-28,信息审核,东风标致408发动机出现烧机油的现象	,"A63,"
488908,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,,2020-06-28,处理反馈,一汽大众速腾4S店变相收费而且不予上牌,"K307,K325,L314,"
488907,上汽大众,朗行,2013款 1.4TSI 自动 舒适型,,2020-06-28,信息审核,上汽大众朗行车内一直有浓重的异味,"H185,"
488905,一汽-大众,探岳,2019款 330TSI 两驱 舒适型 国Ⅵ,,2020-06-28,信息审核,一汽大众探岳左后轮位置悬架异响严重,"G204,"
488895,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,,2020-06-28,信息审核,吉利博越实车配置与官方宣传不符,"M279,"
488893,长城汽车,长城C30,2013款 1.5L 手动 舒适型,,2020-06-28,信息审核,长安C30车身轮眉生锈影响驾驶安全,"H79,"
488892,广汽本田,雅阁,2018款 260TURBO 尊贵版 国VI,,2020-06-28,信息审核,广汽本田雅阁发动机怠速抖动非常明显,"A24,"
488891,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,,2020-06-28,信息审核,吉利博越厂家虚假宣传承诺未兑现,"L313,M279,"
488888,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,,2020-06-28,信息审核,一汽大众探岳强制加装电子狗欺骗消费者,"K325,"
488880,吉利汽车,星越,2019款 350T 驭星者,,2020-06-28,信息审核,吉利星越车机版本升级后依然卡顿,"O348,"
488875,东风日产,骐达TIIDA,2011款 1.6 CVT 舒适版 新骐达,,2020-06-28,信息审核,东风日产骐达发动机故障灯亮变速箱顿挫,"A34,B19,B84,I297,"
488869,长城汽车,哈弗M6,2019款 1.5T DCT 两驱 超值版 国VI,,2020-06-28,信息审核,哈弗M6行驶中油耗偏高希望厂家处理问题,"A85,"
488859,广汽丰田,凯美瑞,2019款 双擎 2.5HG 豪华版 国VI,,2020-06-28,信息审核,广汽丰田凯美瑞4S店随意添加车辆维修记录,"J299,"
488855,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,,2020-06-28,厂家受理,马自达昂克赛拉中控屏幕开裂 蓝牙无法连接,"H134,H168,H155,"
488852,知豆电动车,知豆,2014款 标准型,,2020-06-28,信息审核,知豆保修期内电池衰减 补贴未兑现,"H343,L314,"
488851,广汽本田,雅阁,2018款 260TURBO 尊贵版 国V,,2020-06-28,信息审核,广汽本田雅阁变速箱严重漏油希望尽快解决,"B22,"
488850,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,,2020-06-28,信息审核,东风悦达起亚智跑变速箱顿挫 发动机异响,"A9,B19,"
488849,东风日产,阳光,2015款 1.5XE CVT 舒适版,,2020-06-28,信息审核,东风日产阳光减震器漏油不予更换 刹车异响,"E43,G25,"
488846,东风标致,标致408,2016款 1.6T 自动 豪华版,,2020-06-28,信息审核,东风标致408车门固定螺钉生锈 漆面龟裂,"H79,H81,"
488845,华晨宝马,宝马3系,2019款 320i M运动套装,,2020-06-28,信息审核,华晨宝马3系转向及回正时方向盘卡顿,"D123,"
488844,吉利汽车,博越,2016款 2.0L 手动 两驱 智联型,,2020-06-28,处理反馈,吉利博越贷款还清后未将钥匙发送,"O353,"
488841,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,,2020-06-27,信息审核,上汽大众途观L变速箱电控单元损坏,"B84,B77,"
488838,上汽集团,名爵6,2019款 20T 自动 运动版,,2020-06-27,厂家受理,上汽名爵6变速箱频繁异响售后不予解决,"B33,"
488837,一汽-大众,探岳,2019款 330TSI 四驱 豪华型Plus 国VI,,2020-06-27,处理反馈,一汽大众探岳右大灯模糊不清希望尽快更换,"H82,"
488836,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,,2020-06-27,处理反馈,一汽大众速腾上坡辅助失效导致溜车,"H170,"
488834,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,,2020-06-27,处理反馈,吉利博越变速器频繁异响希望尽快解决,"B33,"
488833,东风雪铁龙,雪铁龙C4L,2013款 1.8L 自动 劲智版,,2020-06-27,处理反馈,东风雪铁龙C4L汽油泵漏油 方向盘上下抖动,"D337,H78,"
488832,广汽本田,飞度,2014款 1.5L CVT LX舒适型,,2020-06-27,信息审核,广汽本田飞度启动困难4S店不予质保,"A44,"
488827,吉利汽车,星越,2019款 改款 350T 耀星者,,2020-06-27,处理反馈,吉利星越4S店不兑现承诺出售库存车,"M283,"
488826,奇瑞新能源,奇瑞eQ,2017款 豪华型,,2020-06-27,信息审核,奇瑞eQ空调压缩机故障导致无法制冷,"H101,"
488825,吉利汽车,帝豪,2018款 1.5L CVT 豪华型,,2020-06-27,处理反馈,吉利帝豪倒车影像摄像头进水图像不清晰,"H134,"
488824,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 时尚动感型 国Ⅴ,,2020-06-27,信息审核,一汽大众奥迪Q2L后减震器出现异响,"G52,"
488819,吉利新能源,帝豪新能源,2018款 EV450 进取型,,2020-06-27,处理反馈,吉利帝豪新能源慢充故障4S店拒绝索赔,"H340,"
488818,上汽大众,朗逸,2017款 1.6L 自动 舒适版,,2020-06-27,厂家受理,上汽大众朗逸刹车时前轮位置存在异响,"E43,"
488817,奔驰（进口）,奔驰GLS,2018款 320 4MATIC,,2020-06-27,信息审核,进口奔驰GLS方向盘严重掉漆4S店拒绝索赔,"H157,I297,"
488814,东风标致,标致308S,2015款 1.2T 自动 劲驰版,,2020-06-27,信息审核,东风标致308S碳罐内进入汽油发动机熄火,"A14,H271,"
488813,北京现代,胜达,2013款 2.4L 自动 两驱 智能型 GLS,,2020-06-27,信息审核,北京现代胜达发动机烧机油而且发动机异响,"A9,A63,"
488812,长安汽车,睿骋CC,2018款 1.5T 自动 尊雅型 国V,,2020-06-27,厂家受理,长安睿骋CC刹车异响起步向前窜动中控屏死机,"B19,E43,H134,H21,"
488810,东风启辰,启辰D60,2018款 1.6L 手动 舒适版,,2020-06-27,信息审核,启辰D60行驶时方向盘异响多次维修未解决,"D59,"
488809,长安马自达,马自达3 昂克赛拉,2017款 2.0L 自动 旗舰型 三厢 国V,,2020-06-27,厂家受理,长安马自达昂克赛拉行驶过程中变速器异响,"A12,B33,B22,"
488805,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,,2020-06-27,处理反馈,吉利博越变速箱挡位灯与宣传不符,"M279,"
488803,上汽斯柯达,昊锐,2012款 1.8TSI 自动 贵雅版,,2020-06-27,信息审核,斯柯达昊锐车内一直存在浓重的异味,"H185,"
488800,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,,2020-06-27,处理反馈,众泰T700车窗升降开关断裂 空调异响,"H101,H67,"
488799,广汽本田,飞度,2014款 1.5L CVT LX舒适型,,2020-06-27,信息审核,广汽本田飞度启动机故障发动机启动困难,"A44,"
488795,沃尔沃亚太,沃尔沃S90,2019款 T5 智逸版,,2020-06-27,信息审核,亚太沃尔沃S90低速行驶或怠速状态时车身共振,"H268,"
488793,上汽斯柯达,速派,2016款 TSI330 DSG 创行版,,2020-06-27,信息审核,斯柯达速派车身抖动变速箱无法换挡,"A35,B20,H268,"
488791,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国V,,2020-06-27,信息审核,广汽丰田汉兰达发动机故障灯亮 多次返修,"A34,A163,J298,J301,"
488789,长城汽车,哈弗H6 Coupe,2016款 1.5T 自动 两驱精英型,,2020-06-27,信息审核,哈弗H6 Coupe天窗漏水导致电子设备受损,"H90,"
488787,北京汽车,威旺S50,2016款 1.5T CVT 欢动 尊贵型,,2020-06-27,信息审核,北汽威旺S50变速箱故障灯亮挂挡后无法行驶,"B96,B334,"
488786,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,,2020-06-27,信息审核,广汽本田皓影发动机舱进泥沙 厂家不回复,"I294,Q322,"
488785,一汽丰田,威驰,2017款 1.3L CVT 锐行版,,2020-06-27,信息审核,一汽丰田威驰行驶中发动机异响4S店不处理,"A9,"
488784,一汽-大众,宝来,2018款 1.5L 自动 舒适型,,2020-06-27,信息审核,一汽大众宝来发动机故障灯亮要求解决,"A34,"
488783,一汽-大众,CC,2019款 330TSI 华颜版 国V,,2020-06-27,信息审核,一汽大众CC变速箱顿挫现象异常严重,"B19,"
488779,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,,2020-06-27,信息审核,一汽大众奥迪Q5L 4S店承诺安装精品不兑现,"L313,"
488776,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,,2020-06-27,处理反馈,吉利缤越车机出现死机现象无法升级,"H21,H155,L314,"
488772,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,,2020-06-27,信息审核,奇瑞瑞虎8发动机管路断裂希望得到处理,"H168,"
488771,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,,2020-06-27,信息审核,长安马自达昂克赛拉转向异响严重,"D59,"
488766,吉利汽车,缤瑞,2018款 14T CVT 缤致版,,2020-06-27,处理反馈,吉利缤瑞座椅骨架生锈严重希望处理,"H79,"
488765,领克汽车,领克01,2017款 2.0T 双离合 四驱 劲Pro,,2020-06-27,信息审核,领克01多个电控设备无法使用要求处理,"H110,"
488764,一汽丰田,卡罗拉,2016款 1.8L CVT 豪华版 双擎,,2020-06-27,信息审核,一汽丰田卡罗拉经销商变相收费 不承认问题,"I295,K307,"
488761,星途,星途TX,2019款 TXL 1.6T 两驱 钻石版,,2020-06-27,信息审核,星途TX油门踏板共振 启停时有时无,"A24,H134,H263,"
488760,吉利汽车,星越,2019款 350T 驭星者,,2020-06-27,处理反馈,吉利星越车机版本与宣传不符死机重启,"H155,M279,"
488759,上汽集团,荣威RX3,2018款 1.6L CVT 旗舰版,,2020-06-27,信息审核,上汽荣威RX3车辆无法启动要求尽快处理,"A44,"
488757,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之梦版,,2020-06-27,处理反馈,众泰SR9变速箱无法加速 转向助力失灵,"B334,D57,"
488756,上汽集团,荣威RX5 MAX,2019款 300TGI 自动 智能座舱豪华版,,2020-06-27,信息审核,上汽荣威RX5 MAX车顶漏水严重希望处理,"H109,"
488755,吉利汽车,远景,2017款 1.5L 自动 幸福版,,2020-06-27,处理反馈,吉利远景变速箱无法换挡希望尽快处理,"B20,"
488754,上汽集团,荣威RX3,2020款 1.6L 手动 超爽进取版,,2020-06-27,信息审核,上汽荣威RX3漆面厚度与标准差异大	,"H81,"
488752,广汽丰田,丰田C-HR,2018款 2.0L 领先天窗版 国VI,,2020-06-27,信息审核,广汽丰田C-HR邓禄普轮胎外侧出现裂纹,"F100,"
488750,吉利汽车,星越,2019款 300T 耀星者,,2020-06-27,处理反馈,吉利星越车机升级后卡顿要求处理,"H155,O348,"
488749,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,,2020-06-27,处理反馈,吉利博越经销商变更补贴金额签双份合同,"M279,O353,"
488747,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,,2020-06-27,处理反馈,吉利博越底盘异响变速箱挡位灯与宣传不符,"G56,M279,"
488746,长安马自达,马自达3 昂克赛拉,2017款 两厢 1.5L 自动 舒适型 国VI,,2020-06-27,厂家受理,长安马自达昂克赛拉方向盘异常抖动,"D80,"
488744,广汽本田,飞度,2004款 两厢飞度 1.5 AT CVT,,2020-06-27,信息审核,广汽本田飞度变速箱报警无法加速,"B96,B334,"
488741,吉利新能源,帝豪GSe,2018款 尊尚型,,2020-06-27,处理反馈,吉利帝豪GSe慢充系统故障无法使用,"H340,"
488740,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,,2020-06-27,信息审核,奇瑞瑞虎8中控面板开裂要求更换,"H168,"
488735,广汽本田,凌派,2015款 1.8 自动 豪华版,,2020-06-27,信息审核,广汽本田凌派车门排水口生锈要求厂家解决,"H79,I295,I297,"
488734,吉利汽车,缤瑞,2018款 14T CVT 缤致版,,2020-06-27,处理反馈,吉利缤瑞车身有色差要求厂家进行处理,"H201,"
488728,东风本田,本田XR-V,2020款 1.5L CVT 舒适版,,2020-06-27,处理反馈,东风本田XR-V后风挡玻璃存在划痕,"H113,"
488727,北京现代,菲斯塔,2019款 280TGDi 运动版 国VI,,2020-06-27,信息审核,北京现代菲斯塔4S店未完整兑现贴膜承诺,"L313,"
488722,奇瑞汽车,捷途X90,2019款 1.6T DCT 耀旅版 5座 国VI,,2020-06-27,处理反馈,奇瑞捷途销售承诺保养不兑现厂家不处理,"L313,"
488721,东风标致,标致408,2015款 1.2T 自动 豪华版,,2020-06-27,信息审核,东风标致408召回不通知4S店保养后出故障,"D265,J300,K307,O296,"
488720,汉腾汽车,汉腾X7,2018款 X7S 1.5T 自动 豪华型,,2020-06-27,信息审核,汉腾X7方向机异响4S店维修后仍未解决,"D59,I295,I294,N317,"
488718,上汽大众,途观,2015款 2.0TSI 自动 四驱 豪华版 5座,,2020-06-27,信息审核,上汽大众途观天窗漏水4S店维修后无法使用,"H90,I295,J300,"
488716,东风小康,风光330,2014款 1.5L 实用型,,2020-06-27,处理反馈,东风风光330车身生锈4S店不予保修,"H79,I297,"
488715,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,,2020-06-27,信息审核,长安CS75 PLUS倒车影像夜间模糊不清,"H134,"
488714,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,,2020-06-27,处理反馈,一汽大众速腾变速箱 刹车异响 空调异味,"B33,E43,H121,"
488713,北京现代,领动,2019款 1.4T 双离合 炫动・活力型,,2020-06-27,信息审核,北京现代领动耐克森轮胎鼓包存在质量问题,"F39,"
488712,上汽集团,名爵HS,2019款 30T 自动 两驱 Trophy超燃版 国VI,,2020-06-27,信息审核,上汽名爵HS新车下悬臂异响 售后无配件,"G210,N318,"
